Altium Designer Pick and Place Locations
C:\git\ECSE_LeaversDinner_2025\LeaversDinner_invite\Project Outputs for LeaversDinner_invite\Pick Place for LeaversDinner_invite_PCB.txt

========================================================================================================================
File Design Information:

Date:       08/10/25
Time:       17:51
Revision:   89ae1078f86845ff7e4fc5a468615d3792e73cfc
Variant:    No variations
Units used: mm

Designator Comment       Layer    Footprint              Center-X(mm) Center-Y(mm) Rotation Description                                                                                Ref-X(mm) Ref-Y(mm) Pad-X(mm) Pad-Y(mm) 
PB2        YZA-021       TopLayer SW-SMD_YZA-021         21.4630      52.1970      0        ""                                                                                         21.4630   52.1970   19.7631   51.2220   
PB1        YZA-021       TopLayer SW-SMD_YZA-021         10.7657      52.2380      0        ""                                                                                         10.7657   52.2380   9.0658    51.2630   
BOOTSEL    YZA-021       TopLayer SW-SMD_YZA-021         83.6330      34.5860      270      ""                                                                                         83.6330   34.5860   82.6580   36.2859   
R2         27R4          TopLayer FP-MCR01-IPC_B         74.7954      35.1787      90       "Thick Film Chip Resistor, 0402, 10MO, 5%, 200ppm/°C, 0.063W, 50V"                         74.7954   35.1787   74.7954   34.7257   
C15        1uF           TopLayer SMD-0402C              71.9531      32.0675      90       "CAP CER 1UF 10V X7S 0402"                                                                 71.9531   32.0675   71.3689   32.0675   
C14        1uF           TopLayer SMD-0402C              72.8339      26.4082      90       "CAP CER 1UF 10V X7S 0402"                                                                 72.8339   26.4082   72.2497   26.4082   
U3         "662K LDO"    TopLayer SOT-23                 72.2497      29.1059      180      "Linear Voltage Regulator IC Positive Fixed 1 Output 300mA SOT-23"                         72.2497   29.1059   73.1997   30.1659   
C13        15pF          TopLayer SMD-0402C              58.0940      38.8880      270      "CAP CER 1UF 10V X7S 0402"                                                                 58.0940   38.8880   58.6782   38.8880   
C12        15pF          TopLayer SMD-0402C              59.6180      43.7140      270      "CAP CER 1UF 10V X7S 0402"                                                                 59.6180   43.7140   60.2022   43.7140   
C11        100nF         TopLayer SMD-0402C              60.8328      36.8261      90       "CAP CER 1UF 10V X7S 0402"                                                                 60.8328   36.8261   60.2486   36.8261   
C10        100nF         TopLayer SMD-0402C              73.9140      39.1160      270      "CAP CER 1UF 10V X7S 0402"                                                                 73.9140   39.1160   74.4982   39.1160   
